bairro,cep,cidade,cnpj,complemento,email_1,email_2,endereco,estado,ExibirAgendamentoOnline,id,local,unidade_id
Parque São Pedro,53816944,da Costa do Oeste,01.874.362/0001-74,Favela Lara Cunha,carlos-eduardorezende@ig.com.br,jsales@da.br,"Jardim Olivia da Conceição, 4",Pará,True,ad61c566-0378-4f67-a6cd-0a9210c701a5,Santos,1
Paulo Vi,40113262,Duarte de da Cunha,30.754.621/0001-21,Fazenda Martins,da-mataheitor@ferreira.br,lorenzo12@bol.com.br,"Ladeira Yago Rodrigues, 9",Santa Catarina,False,8248169f-c2c1-4606-8aca-e0e558fd8f0f,Correia,1
Vila Copacabana,90994810,Moura,75.326.409/0001-00,Esplanada Samuel Duarte,nascimentocalebe@uol.com.br,hsilva@viana.com,"Trecho Davi Lucca Gomes, 6",Alagoas,False,ada89e09-cb8b-4d9c-a62a-5cb7ecabbe89,Duarte de Araújo,2
São Tomaz,06703-668,Cardoso,39.485.701/0001-01,Estrada Daniel Sales,isadorapereira@goncalves.net,luizaviana@ig.com.br,"Condomínio Thiago Rezende, 3",Ceará,False,369230b8-c9e5-4d6a-b10a-43a4b56045c3,da Rocha,1
São Tomaz,60673505,Nunes Grande,94.072.563/0001-39,Vereda Benjamin Barros,yda-cruz@da.br,ana-vitoriamelo@gmail.com,"Rua Almeida, 622",Distrito Federal,True,01fd8175-0ce3-4775-9120-bd1ade21f947,Santos,1
Silveira,04158-434,Aragão de Viana,53.429.180/0001-98,Recanto Yago Costa,mouramanuela@barros.br,lauravieira@castro.br,"Chácara Monteiro, 79",Maranhão,False,63ef7cb8-b35c-45b8-bf5f-f1798955c350,Castro,1
Vila Inestan,77529567,Nogueira de Martins,50.731.984/0001-59,Residencial de Costela,nataliada-cunha@correia.org,castromarina@teixeira.br,Estação de Nascimento,Minas Gerais,True,497977a2-4cca-406e-a9d6-ac5e2dbd86d9,Nunes,1
São Jorge 1ª Seção,43203762,Pereira,63.801.759/0001-93,Conjunto Lopes,rafael03@hotmail.com,clarice21@ig.com.br,"Praia Costa, 739",São Paulo,False,fe53336c-8d26-4452-ae44-5dfdb12c4904,Nogueira de Santos,9
Vila Copasa,69884070,Caldeira do Amparo,76.154.209/0001-71,Via Lima,valentina97@uol.com.br,teixeiraleonardo@uol.com.br,"Condomínio Erick Souza, 76",Piauí,True,37ea4949-db51-4dca-a8cc-cb36c7c9daca,Azevedo,1
Belvedere,20549-766,Carvalho,79.501.826/0001-94,Parque Davi Barros,ualmeida@cunha.com,pedro-henriqueporto@souza.net,Trevo de Lima,Amazonas,True,06c743b9-2f7d-4de5-b3a7-7d2f2a695328,da Conceição de Lopes,7
Bonfim,29133-658,Aragão da Mata,45.267.810/0001-47,Chácara Almeida,da-pazluna@ribeiro.br,antonio75@costa.br,"Fazenda de da Luz, 6",Piauí,False,6163b2fd-6898-4b82-8476-f8684ba903ce,Pereira,10
Luxemburgo,97722958,da Costa,96.732.401/0001-05,Largo de Barbosa,portocaio@ig.com.br,luna47@das.br,"Vereda Luiz Fernando da Luz, 89",São Paulo,False,a3a43014-21cb-40f3-824c-47591da6744f,Teixeira,2
Planalto,61741081,Silveira de Silva,81.256.039/0001-76,Avenida de Duarte,diasdaniela@rezende.br,ana-juliaporto@ig.com.br,"Lago de Santos, 92",Distrito Federal,True,d8171b33-b25b-4c32-a139-4b502670d2c2,Sales da Prata,2
Ventosa,03253580,Carvalho,12.906.785/0001-45,Estrada Almeida,augusto19@ferreira.br,marina83@da.br,Área da Luz,Goiás,False,714d5b93-bc28-43e8-85a9-ff1db8a93815,Nunes Verde,4
Pedreira Padro Lopes,20943818,Freitas dos Dourados,30.942.568/0001-92,Área Lorena Novaes,benicio90@ig.com.br,sophie79@duarte.br,"Área Sales, 84",Rio Grande do Norte,False,9c154058-7cd7-4e20-ae0b-c1eef1bf5a19,Cavalcanti,9
Vila Pinho,28078-958,Correia Verde,20.419.738/0001-03,Via Martins,mirella69@porto.com,cardosolais@da.net,"Fazenda de Pereira, 68",São Paulo,False,eb783f71-9e80-4382-8d3d-5199ff884b17,Monteiro,8
Havaí,37681-209,Pinto,64.589.073/0001-43,Conjunto Ryan Lopes,ypires@alves.br,raulmoraes@pires.com,Conjunto Maria Julia Nascimento,Paraná,False,9c0b376b-4647-4f3e-996f-d650c17b03dd,Rocha,6
Nossa Senhora Aparecida,79925149,Azevedo,69.143.072/0001-94,Vale Pires,isaac33@yahoo.com.br,bbarros@da.br,"Lago Mendes, 70",Espírito Santo,True,43632cbd-c962-4972-9131-dd4123ed2f4e,Freitas Paulista,1
São Gonçalo,25097946,Moura,58.697.430/0001-94,Praça Martins,aramos@yahoo.com.br,ana-luiza80@hotmail.com,"Viaduto Daniel da Rosa, 30",Bahia,True,72de05f8-464b-4b7d-9ba8-da6fda2f220d,Carvalho de Minas,1
Teixeira Dias,19684795,Nunes da Serra,84.136.752/0001-74,Vila de Aragão,igorda-paz@bol.com.br,guilhermemelo@bol.com.br,"Residencial de Gonçalves, 2",Rio de Janeiro,True,3e2b3b33-aa09-4f8c-a0a5-bb4408ca4832,Ferreira,5
Dona Clara,20024702,da Conceição,36.589.024/0001-75,Trecho Pietro Santos,stephanycosta@yahoo.com.br,melissa22@yahoo.com.br,"Residencial de Cunha, 202",Alagoas,False,0a4f273b-daae-4d89-8ada-d8c03a26a4c9,Nascimento dos Dourados,2
Bacurau,60932-207,Viana do Oeste,59.784.362/0001-63,Núcleo Milena Carvalho,cda-mata@duarte.org,marcos-vinicius92@gmail.com,"Conjunto de Pinto, 3",Pará,True,35670ecf-b037-4e22-8f8a-a7577b024025,Alves,5
Gameleira,73242-750,Silveira dos Dourados,84.326.510/0001-43,Loteamento Pereira,costelamanuela@hotmail.com,pereirakevin@rocha.br,"Viaduto de Dias, 47",Piauí,False,88653a3d-4669-41b6-839a-a18fd164c178,Duarte,1
Garças,18727768,Gomes,59.602.183/0001-68,Setor Luiz Gustavo Melo,francisco75@ribeiro.com,baragao@hotmail.com,"Via de da Cunha, 4",Mato Grosso do Sul,False,b2690cb4-2f9e-4288-b43a-25dcd2dcd76a,Jesus,9
São Bernardo,63462218,Barros de Barbosa,78.031.649/0001-67,Núcleo de Araújo,ribeiromaria-fernanda@yahoo.com.br,bianca73@gmail.com,"Ladeira Laura Lima, 43",Distrito Federal,False,702d3682-aad9-44f8-8a23-907461176abf,Pires,9
Pedreira Padro Lopes,14399226,Correia Alegre,98.437.051/0001-80,Vila Barbosa,otaviovieira@peixoto.br,araujopedro-miguel@bol.com.br,"Vale Fogaça, 24",Pará,True,2c6c4f22-ad10-4b1c-9185-1922f3ee0fa4,Novaes Paulista,6
Braúnas,60077469,Fogaça da Praia,25.798.631/0001-29,Pátio Pereira,emanuellasilveira@da.net,alana83@duarte.com,"Travessa Cecília da Cruz, 477",Ceará,True,0767fc00-064c-4c10-92af-8d45f9a53d94,da Cruz do Sul,6
Vila Antena Montanhês,85689207,Almeida,14.907.283/0001-64,Trecho de Cardoso,davi-luizlopes@aragao.org,wpinto@araujo.org,"Viela de Lopes, 2",Mato Grosso do Sul,False,988fb0da-c6d1-4e91-bd55-6de7ed856fa6,Moraes do Amparo,6
Parque São José,16162-956,Gonçalves,71.325.069/0001-33,Aeroporto de Viana,enrico49@caldeira.br,vnovaes@moura.br,"Trecho Pinto, 21",Mato Grosso,False,9ec59ccb-4e2a-4bf5-a4e0-6afa291873cb,Silva da Mata,7
Nova Esperança,16598275,Teixeira da Serra,34.786.521/0001-38,Fazenda Nogueira,heitorda-costa@aragao.com,evelyn51@ig.com.br,"Travessa Silveira, 26",Rio Grande do Norte,False,e1f4ca0e-41a7-4759-9f11-b9a450f1f11c,Cavalcanti de Minas,5
Floramar,08173-831,Campos de Cardoso,93.126.745/0001-82,Lagoa Nascimento,melolarissa@uol.com.br,ypeixoto@da.br,"Núcleo João Felipe Castro, 8",Piauí,True,b4e0161b-b929-455d-a81e-cb85919ff8e7,Pires de Viana,5
Horto,97489847,da Mota de Moraes,80.356.719/0001-07,Lago Cavalcanti,piresmaria-eduarda@bol.com.br,catarina70@melo.br,"Estação Araújo, 31",Rio de Janeiro,True,fa9bdb90-8860-4d67-9d88-f2edd07d59a2,da Mata de Santos,6
Sion,10433-956,da Paz,39.420.186/0001-73,Lagoa Vitor Gabriel Silveira,daniela81@bol.com.br,pereiradavi-luiz@ribeiro.com,"Viela Noah Araújo, 21",Pernambuco,True,e859fbbc-dde8-428f-8bcf-094ffe53e142,Moreira das Pedras,8
Vila Independencia 1ª Seção,17386499,Nogueira do Galho,21.348.709/0001-52,Recanto da Mota,mendesvitor@da.br,maria-fernandabarbosa@hotmail.com,"Viaduto Felipe Santos, 141",Amazonas,False,b2c4cf50-12f3-453f-8c3c-9ecda952570b,Nascimento de Santos,10
Parque São José,71946014,Ferreira da Mata,76.019.523/0001-41,Praça Martins,jjesus@hotmail.com,costelacarlos-eduardo@costela.com,"Quadra Rezende, 9",Pará,True,65c3d3fe-0c4d-4266-ab81-4ee169c91faa,da Cruz de da Paz,5
Baleia,14386-583,Peixoto de Farias,07.265.839/0001-09,Colônia da Rosa,rafaeladas-neves@ig.com.br,diogogomes@uol.com.br,"Rodovia Enrico Pires, 56",Minas Gerais,False,fdbf14e5-b6b7-4798-9cbc-8d66e78a0fd9,Pires do Oeste,4
Liberdade,79410-028,Barros Paulista,29.103.478/0001-29,Colônia de Jesus,castroisabella@hotmail.com,mouramiguel@melo.br,"Vereda de da Luz, 55",Mato Grosso do Sul,True,5ee63855-35b7-4111-8a68-56011e1f9471,da Luz do Galho,9
Santa Branca,31660494,Monteiro,73.614.058/0001-07,Feira da Rocha,jda-cruz@ig.com.br,msilva@ig.com.br,"Ladeira Emanuelly Souza, 92",Mato Grosso do Sul,True,4eb9fc2c-4f4b-4a32-9adf-41b6a08ff8a0,Gomes,10
Jardinópolis,80820-702,Silveira da Mata,07.214.938/0001-53,Condomínio Lorenzo Cavalcanti,zviana@bol.com.br,mda-rosa@bol.com.br,"Rua de Moraes, 25",Pará,False,58af47d4-7591-4446-81f1-900460605f38,Nogueira de Teixeira,2
Bandeirantes,16550953,Campos,82.317.095/0001-36,Núcleo Duarte,ana-beatriz59@teixeira.com,ifogaca@ig.com.br,"Núcleo de Ferreira, 6",Paraná,True,0ece9751-043c-4d8d-ba61-486d81f81aa2,Barros de Barbosa,9
Independência,94659-951,Fernandes de Fernandes,59.304.871/0001-41,Vereda de Ferreira,da-rochaluiz-henrique@bol.com.br,lnogueira@peixoto.com,"Núcleo Milena Porto, 66",Rio de Janeiro,True,84332808-7502-4aa8-8ee5-8bbd34c662fc,Fernandes Verde,8
Parque São Pedro,21036421,Costa do Amparo,63.897.250/0001-96,Área Luiz Miguel Nunes,laviniada-mata@silva.net,erick53@bol.com.br,"Vereda Gomes, 87",Tocantins,False,94bfbadf-200b-4ce6-8de8-7cc5ec7491fb,da Luz,10
Vila Santo Antônio,56938195,Rodrigues de Peixoto,32.680.451/0001-03,Lagoa de Araújo,luiz-felipesilva@almeida.com,mbarros@nascimento.br,"Núcleo de Martins, 77",Tocantins,True,427a03e2-4b47-4e27-9d1c-9e364da03f13,Fernandes,8
Vila Maloca,30811-411,da Cruz da Mata,62.971.450/0001-89,Vereda de Cardoso,laisfarias@da.net,eloahduarte@goncalves.br,Estrada de Melo,Tocantins,True,d9d1bc45-8fa7-4297-bc64-da5770e2563f,Jesus do Galho,10
São Tomaz,68215-423,Cardoso de Silva,93.285.714/0001-74,Largo de Martins,csales@ig.com.br,luiz-henriquegoncalves@da.org,"Vila João Felipe da Rosa, 668",Ceará,False,e6aa8801-be53-4563-8ab4-758020f91772,Alves,2
Vila Suzana Segunda Seção,32059372,das Neves,25.347.869/0001-38,Recanto Augusto Araújo,vmoraes@oliveira.org,ian13@aragao.com,"Alameda Carvalho, 5",Pernambuco,False,fc195a6a-38a9-4d84-a326-230d968e5d84,Araújo,3
Vila Independencia 3ª Seção,05513-131,Rodrigues,54.167.328/0001-26,Viaduto Stella Nogueira,luizamonteiro@hotmail.com,clopes@pinto.br,Área Barros,Sergipe,True,c594a46c-5f6b-4d21-9c3f-6f79912780d8,Novaes,6
Camponesa 1ª Seção,60410531,Jesus Grande,81.395.420/0001-16,Favela Gonçalves,sviana@caldeira.br,maysabarbosa@uol.com.br,Jardim de da Mota,Roraima,True,86c374a4-a550-4a43-99f5-a5652bac59dc,Almeida de Minas,10
Outro,61577214,Campos,58.310.697/0001-87,Morro de Melo,mirellaalmeida@oliveira.br,nathanmoraes@yahoo.com.br,"Chácara Aragão, 60",Mato Grosso do Sul,False,89640408-7c30-48d9-a4b2-fffe9681b488,Mendes,7
Centro,57301-190,da Cunha dos Dourados,37.581.640/0001-42,Pátio da Cunha,camposrafael@gomes.br,diogorocha@gmail.com,Parque de Cunha,Tocantins,False,4f1b1063-d401-414a-9ec8-ad3b5b5df21f,Gonçalves do Oeste,4
Graça,54988165,Teixeira,50.362.879/0001-90,Vereda Gonçalves,daniel54@hotmail.com,silveiraleticia@dias.br,"Lago Davi Sales, 64",Paraná,False,9172a2d5-4a13-4b66-adb8-5e217e657871,Aragão,10
Laranjeiras,90583572,Cardoso,47.296.580/0001-70,Sítio Julia Costela,lorenarodrigues@hotmail.com,gustavo19@bol.com.br,"Viaduto de da Cruz, 95",Minas Gerais,True,7a66600d-6257-468b-b7dd-cb7ee7a255dc,Vieira,10
Juliana,39896-091,Aragão,34.912.075/0001-60,Vale Vieira,almeidadiogo@vieira.br,ocarvalho@yahoo.com.br,"Vereda de das Neves, 3",Tocantins,False,8b943cb8-a470-4caa-8542-1f004f4fc019,Caldeira,4
Castanheira,32935042,Rezende Alegre,62.183.740/0001-68,Vereda de Gomes,julia51@aragao.com,cda-cunha@bol.com.br,"Distrito Miguel Ramos, 29",Minas Gerais,True,643b4e47-48a4-49f2-98fe-2cd8a0663365,Martins das Flores,8
Granja De Freitas,16070674,Barbosa,83.125.406/0001-28,Praça de Nascimento,ana-luizacardoso@silveira.com,davifreitas@ig.com.br,"Praça Pinto, 611",Paraná,True,e305a876-404e-4c31-8faf-84582bda920f,da Luz,10
Coração De Jesus,17802-301,Rodrigues,01.568.374/0001-70,Aeroporto Moraes,marcos-viniciusda-costa@yahoo.com.br,xcavalcanti@fernandes.br,Lagoa Santos,Rio Grande do Sul,True,7331217d-fc24-4a75-bbea-b6132317a6ce,Correia Grande,10
Paquetá,54011-623,Almeida das Flores,21.705.396/0001-42,Parque Bruno Oliveira,da-conceicaodavi-luiz@yahoo.com.br,raquel34@bol.com.br,"Área Gabriel Vieira, 344",Pará,False,05a755dc-0dae-4775-8519-a3c81c362143,Pires do Campo,3
Xangri-Lá,98500-994,da Costa de Moreira,69.512.074/0001-03,Lagoa Nunes,vda-luz@bol.com.br,marianaoliveira@bol.com.br,"Largo Enzo Pires, 16",Santa Catarina,False,87fa099f-d13c-4bcc-b9a0-4f676e29e17e,Lopes,4
Salgado Filho,99961296,Campos,96.413.750/0001-64,Residencial de Nogueira,bferreira@da.org,pietro91@moura.com,"Conjunto Silveira, 79",Paraná,False,6a5ff855-0280-4a38-8ae4-09708ea6e2d3,da Cruz dos Dourados,9
Betânia,17824-993,Lima de Melo,63.051.279/0001-52,Parque de Araújo,oliveiraeloah@castro.com,nogueiraclarice@gmail.com,"Travessa Campos, 47",Minas Gerais,False,fea00d86-03a9-46ed-985e-fd76adab4c46,Barbosa Paulista,4
Vila Nova,82078080,Campos,03.587.164/0001-55,Vila Cauã Novaes,bryan08@ig.com.br,emanuellacavalcanti@oliveira.br,"Favela Kaique Moura, 48",Alagoas,True,3b00f5fd-d10e-4d69-bf70-05c7fbcc84a6,da Mata dos Dourados,1
Vila Suzana Segunda Seção,69646886,Teixeira Alegre,61.387.025/0001-84,Largo Erick Caldeira,vitor-hugo69@melo.com,laracostela@goncalves.com,"Quadra de Correia, 678",Tocantins,True,d694ab6c-5013-43be-b9b1-64014aaffc7b,Porto,9
Vila Independencia 3ª Seção,28020-935,Dias,90.231.745/0001-54,Fazenda Nascimento,melissaporto@araujo.com,thomasfernandes@yahoo.com.br,Lago Souza,Paraná,True,7d928e74-54ba-46ff-987d-2f9bc5d7a856,Lima,8
Calafate,31502029,Melo,41.789.250/0001-30,Recanto Barros,elisamelo@hotmail.com,moreiragustavo-henrique@ig.com.br,"Lagoa de Vieira, 55",Amapá,True,af7b12a1-a494-4b0b-a372-dcb38bac83a7,da Cunha,5
Nazare,46643-766,Nascimento de Fogaça,82.537.490/0001-24,Favela Fernandes,silvaagatha@uol.com.br,kevinmelo@souza.com,"Vila Brenda Peixoto, 64",Goiás,False,82804099-2189-41e1-bc25-5d6f03aa22c2,Lima,9
São Jorge 2ª Seção,29893-199,Nunes das Pedras,01.596.724/0001-02,Vale de Oliveira,aragaoana-livia@novaes.br,joao-lucas92@silva.br,"Recanto Ana Carolina da Cruz, 3",Rondônia,True,a1cbee5d-a735-4e75-b88d-b10f1aec6cbd,Vieira do Sul,9
Vila Esplanada,64569770,Nascimento,82.946.703/0001-71,Lago de da Cruz,esther79@farias.br,marceloaragao@hotmail.com,"Núcleo Teixeira, 72",Amapá,True,1c47ec61-4a8b-487b-a152-a5fb348adbd8,Nogueira de Gonçalves,2
Alto Vera Cruz,26069-251,Souza de Minas,10.756.498/0001-70,Fazenda de Martins,carolinalima@uol.com.br,bryancavalcanti@hotmail.com,"Quadra Ferreira, 48",Tocantins,False,fe05db71-8426-4786-98ab-bd168c7f1248,Monteiro Paulista,1
Gameleira,86790-886,Cavalcanti de Lima,03.824.596/0001-32,Área Yuri Rocha,nunesryan@hotmail.com,barbosamarcos-vinicius@ig.com.br,"Praia Lopes, 21",Espírito Santo,False,beed19b6-d233-4694-a396-2b746b3416b9,Cardoso Verde,1
São Lucas,19639-713,Souza,46.259.713/0001-75,Sítio Vicente Rocha,pcaldeira@bol.com.br,maria-sophiada-rocha@ribeiro.br,"Rodovia de Oliveira, 6",Rio Grande do Norte,True,e29104bb-8be1-4a07-a062-6eb782284c36,Costa do Sul,1
São Jorge 3ª Seção,24417363,Novaes,95.046.172/0001-02,Condomínio de Pereira,melobianca@carvalho.br,pietro46@uol.com.br,"Praça Daniel Sales, 66",Sergipe,True,1637967f-4fcd-4108-9c74-502a259791e7,Rodrigues,4
Etelvina Carneiro,81664041,Almeida,83.145.796/0001-06,Trevo de Barbosa,felipe56@oliveira.org,oda-costa@bol.com.br,"Travessa de Oliveira, 8",Rio de Janeiro,True,75bba6b1-fc92-483e-9319-ce07ce6cc24a,Lima do Oeste,10
Nova America,79772-736,da Paz,32.780.516/0001-92,Largo de Mendes,ana-carolinada-mota@hotmail.com,limapietra@lopes.com,"Travessa de Nunes, 4",Piauí,False,ccbc85d5-0fda-4e4c-85b0-058ff65d3def,Mendes do Sul,5
Vila Boa Vista,27545-493,Santos,07.561.248/0001-70,Ladeira Monteiro,breno11@uol.com.br,souzaisabella@hotmail.com,"Núcleo Alice Correia, 306",São Paulo,True,54b28db0-b888-4366-82ec-97148639c775,Souza Alegre,8
Mariano De Abreu,71447823,Moreira do Norte,39.862.015/0001-02,Colônia Cardoso,yurida-rosa@bol.com.br,vitor-gabrielsantos@gmail.com,Recanto de Lopes,Acre,False,b7f9bc10-d515-484d-b110-2d7ba32c91b6,Rocha,5
Vila Canto Do Sabiá,98601-581,Peixoto das Pedras,91.862.073/0001-48,Quadra Gonçalves,teixeiramirella@ferreira.com,ana-luiza47@ig.com.br,"Vila de Araújo, 3",Bahia,False,ba4aff4d-8ff4-4f18-80a1-f55eceee3bff,Araújo do Campo,7
Santa Branca,22933565,Souza,24.015.736/0001-00,Aeroporto Cavalcanti,isadoracunha@da.com,maysa54@gmail.com,"Via Ramos, 64",Rio Grande do Sul,True,b5c08469-5c0c-411b-9a0d-13992824ce52,Dias,1
Vila Santa Rosa,81441927,Silva,13.852.069/0001-95,Conjunto Vieira,yago87@hotmail.com,marceloferreira@rodrigues.com,"Vila Kevin Moraes, 42",Tocantins,False,6ac9980f-8eab-482a-a92f-2c4bdb5dfeee,Costela do Galho,8
Frei Leopoldo,00878-692,Santos de Minas,51.370.842/0001-76,Favela de Novaes,rochamaite@moura.br,ana-juliada-cruz@bol.com.br,"Ladeira Cardoso, 377",Minas Gerais,True,735356e8-8d12-4d2d-b70c-fefd5778377d,Alves Paulista,10
Parque São José,63606-209,Nogueira,71.345.289/0001-29,Área de Aragão,cferreira@da.net,lorenzopereira@uol.com.br,"Distrito Cardoso, 55",Alagoas,True,f8c4f3bf-4810-409e-9261-b4145f7bca45,da Conceição,2
Jonas Veiga,08466893,Santos,20.465.718/0001-60,Morro de Fogaça,marianacampos@teixeira.com,salespedro-lucas@porto.net,"Condomínio Alexia Lima, 4",Paraíba,True,3199ccb1-d8c9-4508-b094-57bb76927ca7,Nogueira do Norte,5
Dom Bosco,13512-559,Campos de Souza,29.458.016/0001-24,Aeroporto Lorenzo Rocha,bcardoso@peixoto.com,gabriel64@yahoo.com.br,Quadra Davi Lucas Pinto,Rio Grande do Norte,True,41dc942e-c53f-412d-b0fd-03d1e90bd9b2,Rezende de Castro,3
Penha,56909-307,Costela,02.951.674/0001-05,Travessa Olivia Rocha,yurimonteiro@gomes.br,mendesheitor@caldeira.com,"Jardim Joana Monteiro, 13",Roraima,False,add691c8-91b5-45ca-a701-cc109e1fb4c1,Rodrigues de Goiás,9
Vila Copasa,72892047,Freitas do Norte,94.376.258/0001-30,Loteamento Agatha Duarte,onovaes@dias.net,pcavalcanti@moura.net,"Alameda Cauã Barbosa, 99",Paraíba,False,39e69215-44ab-4f8e-82c0-f98e497ca49b,Freitas da Prata,1
Vila União,08200-727,Barros de Gonçalves,06.837.125/0001-57,Passarela Azevedo,pedrobarbosa@costela.org,pcarvalho@bol.com.br,"Fazenda de Nunes, 9",Bahia,True,7915facc-c6b2-4d07-8a13-d6abbcaa9bd3,Pinto,9
Vila Nova Cachoeirinha 2ª Seção,55246-495,Peixoto do Galho,19.423.075/0001-03,Lagoa João Pedro Gomes,helena40@costela.br,henrique62@bol.com.br,"Passarela Thales Mendes, 7",Mato Grosso,True,85607bac-8ace-4d1b-b310-e002d861e53f,Moreira do Oeste,8
Santana Do Cafezal,45374549,Barros,16.850.374/0001-36,Residencial Silva,wcavalcanti@rocha.com,larissa36@pinto.br,"Vereda de Costela, 800",Ceará,False,3ec2baca-5c31-4049-a701-3783be9539da,Rodrigues Grande,1
Boa União 1ª Seção,48842440,Silva da Prata,15.082.649/0001-76,Largo Sales,llopes@gmail.com,da-rosanathan@gmail.com,Vila de Porto,Pará,False,aeaf147b-96ca-4421-93e0-022c12d765b8,Nascimento,10
Senhor Dos Passos,12694718,Viana,98.205.173/0001-40,Condomínio Teixeira,marinafogaca@fogaca.org,joaorezende@gmail.com,"Esplanada Ana Sophia da Conceição, 33",Sergipe,True,a4d4d0db-337c-4c6f-b69d-048ca01fa16f,Gomes,10
Solar Do Barreiro,82340602,Araújo,31.260.579/0001-55,Morro de Jesus,evelyn46@hotmail.com,gabriel61@barbosa.com,"Condomínio Nicolas Aragão, 18",Amapá,True,6a5ece74-5dce-4265-949b-761ae75c6aab,Azevedo da Prata,5
Mariquinhas,76921172,Nunes do Norte,03.841.965/0001-03,Passarela de Ribeiro,mouravitoria@gmail.com,beatriz73@ig.com.br,"Distrito Araújo, 563",Rondônia,False,92731ff7-be3a-46d2-bdf3-344877e6f129,Melo,10
Nova Cintra,50251388,da Conceição,85.096.341/0001-65,Viela Helena Moura,pirespedro-miguel@ig.com.br,ogomes@gmail.com,"Campo Ryan das Neves, 404",Acre,True,2655efbe-7b21-4cbf-b9cf-285fffc7db15,Moreira da Praia,7
Conjunto Jardim Filadélfia,10136-977,Aragão,47.920.613/0001-00,Estrada da Luz,matheusmoraes@gmail.com,ana-carolina94@bol.com.br,Campo de Fogaça,Pernambuco,True,7c6544c9-50b9-40bd-b767-a93a858d34e4,da Cruz das Pedras,5
Outro,08874997,Cardoso,51.763.920/0001-00,Lago Ana Julia Cavalcanti,laviniada-cunha@ig.com.br,arthur47@vieira.com,Jardim de Fernandes,Mato Grosso,True,9a56aa91-5e0a-4c93-8122-ba5a67b7ec32,Azevedo das Flores,9
Buraco Quente,70867787,Correia,70.358.916/0001-01,Passarela Barros,cavalcantithomas@ig.com.br,fernandeseloah@yahoo.com.br,"Aeroporto de Cardoso, 7",São Paulo,True,d5d200f2-35f7-40cc-b50d-d2260ce25aff,Cunha,9
Santa Inês,52667-382,da Mata dos Dourados,41.503.269/0001-78,Largo de Martins,zbarbosa@bol.com.br,souzaleonardo@yahoo.com.br,"Estação de Fogaça, 289",Distrito Federal,True,791444f2-ef54-4211-83d4-6b065ad7eee7,da Mota,10
Novo Aarão Reis,08943-874,Pereira,02.691.354/0001-55,Parque Larissa Mendes,eduardasantos@souza.br,bcaldeira@yahoo.com.br,"Campo Ferreira, 4",Tocantins,True,2884399d-fdf8-4503-8e08-803cf90cbadc,Cunha,3
